n00001740	entity
n00021939	non-living thing
n03076708	object 
n03051540	clothing (apparel)
n03419014	garment or clothing
n04230808	skirt 
n03534580	hoopskirt 
n03770439	miniskirt 
n03866082	overskirt 
n04136333	sarong skirt
n03594734	denim jeans 
n02892767	bra 
n03188531	diaper or nappy 
n03595614	T-shirt 
n02963159	cardigan 
n04370456	sweatshirt 
n04371563	swimsuit or bathing suit 
n02837789	bikini or two-piece 
n03710721	one-piece bathing suit or maillot 
n04371430	swimming trunks or bathing trunks 
n03450230	gown 
n03877472	pajamas or pyjamas 
n02730930	apron 
n04350905	men's suit 
n03763968	military uniform 
n03057021	coat 
n03404251	fur coat 
n03630383	lab coat or laboratory coat 
n04479046	trench coat 
n04532106	vestment 
n03980874	poncho 
n03045698	cloak 
n02669723	academic gown
n04097866	robe 
n02667093	abaya 
n03617480	kimono
n03314378	face mask 
n04229816	balaclava ski mask 
n03724870	mask 
n03424325	gasmask or respirator 
n04272054	spectacles or glasses  
n04356056	sunglasses or shades 
dummy35	armor 
n02862048	body armor 
n02916936	bulletproof vest 
n03000247	chain mail or armor 
n03146219	cuirass breastplate 
n02895154	breastplate 
n03816005	neckwear 
n03815615	necktie 
n02834397	baby's bib 
n03814639	neck brace 
n02865351	bolo tie 
n02883205	bow tie 
n04591157	Windsor tie 
n04143897	scarf 
n03325584	feather boa
n04325704	stole scarf 
n03814906	necklace 
n03623198	knee pad  
n04254777	sock 
n03026506	Christmas stocking 
n03710637	maillot tights
n03381126	footwear 
n03047690	clogs
n04199027	shoe 
n03680355	slip-on shoe
n04120489	running shoe 
n04133789	sandal footwear
n03124043	cowboy boot 
n03502509	head covering or headgear 
n03513137	helmet 
n03127747	crash helmet 
n03379051	football helmet 
n03929855	pickelhaube or spiked helmet 
n03497657	hat 
n02817516	military hat (bearskin or shako) 
n02869837	poke bonnet
n03124170	cowboy hat 
n04259630	sombrero hat
n02954340	cap  
n02807133	swimming cap 
n03787032	graduation cap
n04209133	shower cap 
n04584207	wig  
n03476684	hair clip  
n03527444	holster  
n04141327	scabbard  
n03485794	handkerchief 
n03141823	crutch   
n02773037	bag 
n02769748	backpack or rucksack 
n03709823	messenger bag
n03958227	plastic bag 
n04026417	purse 
n04507155	umbrella  
n03490324	handwear  
n03775071	mitten glove
n04447443	toiletry articles
n03113152	cosmetic or makeup
n03314780	face powder 
n03676483	lipstick
n04357314	sunscreen or sunblock 
n03690938	lotion 
n03916031	perfume 
n03476991	hair spray 
n02786058	Band Aid 
n03100490	transport or vehicle  
n04576211	wheeled vehicle   
n03791235	automotive vehicle   
n02958343	car or automobile   
n02701002	ambulance    
n02814533	beach wagon or station wagon  
n02930766	cab or taxi car 
n03100240	convertible car   
n03594945	jeep or landrover   
n03670208	limousine or limo   
n03770679	minivan   
n03777568	Ford Model T car   
n04037443	race car or racing car   
n04285008	sports car
n03444034	go-kart   
n03445924	golfcart or golf cart   
n03977966	police van   
n04490091	truck or motortruck   
n03345487	fire engine 
n03417042	garbage truck 
n03930630	pickup truck 
n04461696	tow truck 
n04467665	trailer truck 
n04465501	tractor 
n04252225	snowplow or snowplough 
n03796401	moving van 
n03384352	forklift 
n03790512	motor cycle or motor bike   
n03785016	moped  cycle
n03791053	motor scooter cycle
n02924116	bus   
n03769881	minibus 
n04146614	school bus 
n04487081	trolleybus 
n04065272	recreational vehicle or RV vehicle
n04464852	tracked transport  
n03478589	half track vehicle 
n04252077	snowmobile  
n04389033	army tank  
n02704792	amphibious vehicle     
n04468005	railroad train    
n02917067	bullet train or high-speed train
n03684823	railway locomotive engine 
n03272562	electric locomotive  
n04310018	steam locomotive  
n04335435	tramcar or trolley car  
n02959942	railroad car  
n03393912	freight car  railroad
n03895866	passenger coach railroad 
n02970849	cart   
n03538406	horse cart 
n03599486	rickshaw 
n03868242	bullock cart 
n02797295	wheelbarrow 
n04204347	shopping cart 
dummy30	cycle   
n02834778	bicycle or bike 
