n00001740	entity
n00021939	non-living thing
n03051540	clothing (apparel)
n03419014	garment or clothing
n04230808	skirt 
n03534580	hoopskirt 
n03770439	miniskirt 
n03866082	overskirt 
n04136333	sarong skirt
n03594734	denim jeans pant
n02892767	bra 
n03188531	diaper or nappy 
n03595614	T-shirt 
n02963159	cardigan 
n04370456	sweatshirt 
n04371563	swimsuit or bathing suit 
n02837789	bikini or two-piece 
n03710721	tank suit or one-piece maillot 
n04371430	swimming trunks or bathing trunks 
n03450230	gown 
n03877472	pajamas or pyjamas 
n02730930	apron 
n04350905	men's suit 
n03763968	military uniform 
n03057021	coat 
n03404251	fur coat 
n03630383	lab or laboratory coat 
n04479046	trench coat 
n04532106	vestment 
n03980874	poncho 
n03045698	cloak 
n02669723	academic gown or robe 
n04097866	robe 
n02667093	abaya robe
n03617480	kimono robe
n03314378	face mask 
n04229816	balaclava ski mask 
n03724870	mask 
n03424325	gasmask or respirator 
n04272054	spectacles or glasses  
n04356056	sunglasses or shades 
dummy35	armor 
n02862048	body armor 
n02916936	bulletproof vest 
n03000247	chain mail or armor 
n03146219	cuirass breastplate 
n02895154	breastplate 
n03816005	neckwear 
n03815615	necktie 
n02834397	baby's bib 
n03814639	neck brace 
n02865351	bolo tie 
n02883205	bow tie 
n04591157	Windsor tie 
n04143897	scarf 
n03325584	feather boa accessory 
n04325704	stole scarf 
n03814906	necklace 
n03623198	knee pad  
n04254777	sock 
n03026506	Christmas stocking 
n03710637	maillot tights
n03381126	footwear 
n03047690	clog footwear
n04199027	shoe 
n03680355	Loafer shoe 
n04120489	running shoe 
n04133789	sandal footwear
n03124043	cowboy boot 
n03502509	head covering or headgear 
n03513137	helmet 
n03127747	crash helmet 
n03379051	football helmet 
n03929855	pickelhaube or spiked helmet 
n03497657	hat 
n02817516	military hat (bearskin or shako) 
n02869837	poke bonnet hat 
n03124170	cowboy hat 
n04259630	sombrero hat
n02954340	cap  
n02807133	swimming cap 
n03787032	graduation cap or mortarboard 
n04209133	shower cap 
n04584207	wig  
n03476684	hair clip  
n03527444	gun holster  
n04141327	scabbard  
n03485794	handkerchief or hanky 
n03141823	crutch   
n02773037	bag 
n02769748	backpack or rucksack 
n03709823	mailbag 
n03958227	plastic bag 
n04026417	purse 
n04507155	umbrella  
n03490324	handwear  
n03775071	mitten glove
n04447443	toiletry or toilet articles
n03113152	cosmetic 
n03714235	makeup 
n03314780	face powder 
n03676483	lipstick or lip rouge 
n03128519	cream or ointment 
n04357314	sunscreen or sunblock 
n03690938	lotion 
n03916031	perfume 
n03476991	hair spray 
n02786058	Band Aid 
n03100490	transport vehicle  
n04576211	wheeled vehicle   
n03791235	automotive vehicle   
n02958343	car or automobile   
n02701002	ambulance    
n02814533	beach wagon or station wagon  
n02930766	cab or taxi car 
n03100240	convertible car   
n03594945	jeep or landrover   
n03670208	limousine or limo   
n03770679	minivan   
n03777568	Ford Model T car   
n04037443	race car or racing car   
n04285008	sports car
n03444034	go-kart   
n03445924	golfcart or golf cart   
n03977966	police van   
n04490091	truck or motortruck   
n03345487	fire engine 
n03417042	garbage truck 
n03930630	pickup truck 
n04461696	tow truck 
n04467665	trailer truck 
n04465501	tractor 
n04252225	snowplow or snowplough 
n03796401	moving van 
n03384352	forklift 
n03790512	motor cycle or motor bike   
n03785016	moped  cycle
n03791053	motor scooter  cycle
n02924116	bus   
n03769881	minibus 
n04146614	school bus 
n04487081	trolleybus 
n04065272	recreational vehicle or RV vehicle
n04464852	tracked transport  
n03478589	half track vehicle 
n04252077	snowmobile  
n04389033	army tank  
n02704792	amphibious vehicle     
n04468005	railroad train    
n02917067	bullet train  
n03684823	railway locomotive engine 
n03272562	electric locomotive  
n04310018	steam locomotive  
n04335435	tramcar or trolley car  
n02959942	railroad car  
n03393912	freight car  railroad
n03895866	passenger coach railroad 
n02970849	cart   
n03538406	horse cart 
n03599486	jinrikisha or rickshaw 
n03868242	oxcart or bullock cart 
n03484083	handcart or pushcart 
n02797295	wheelbarrow 
n04204347	shopping cart 
dummy30	cycle   
n02834778	bicycle or bike 
n02835271	bicycle-built-for-two or tandem bicycle 
n03792782	all-terrain mountain bike
n04482393	tricycle 
n04509417	unicycle or monocycle 
n04266014	space craft or space shuttle   
n02686568	aircraft   
n04552348	warplane or military plane   
n02691156	airplane or aeroplane   
n02690373	airliner   
n02692877	airship   
n02782093	hot air balloon   
n02858304	boat  
n03344393	fireboat 
n03447447	gondola boat
n04128499	sailboat or sailing boat 
n02981792	catamaran boat
n04483307	trimaran boat
n03662601	lifeboat 
n04273569	speedboat 
n02951358	canoe boat
n04612504	yawl boat
n04194289	ship  
n03947888	pirate ship  
n04606251	shipwreck  
n03095699	container ship  
n02687172	aircraft carrier  
n03673027	ocean liner ship   
n04147183	schooner ship
n04347754	submarine 
n04235291	sled or sledge or sleigh   
n02860847	bobsled or bobsleigh 
n03218198	dogsled or dog sleigh 
n03405265	furnishing  
n03405725	piece of furniture 
n04379243	table 
n03179701	desk 
n03982430	pool table or billiard table (snooker) 
n03201208	dining table 
n03290653	entertainment center 
n02870880	bookcase 
n04550184	wardrobe or closet 
n02933112	storage cabinet 
n03018349	china cabinet 
n03742115	medicine chest 
n03337140	file cabinet 
n03016953	chiffonier or commode  of drawers
n04447861	toilet seat  
n03001627	chair 
n02791124	barber chair 
n03376595	folding chair 
n04099969	rocking chair 
n04429376	throne 
n04344873	studio couch 
n03891251	park bench 
n02821943	bedroom furniture 
n03388549	four-poster bed 
n02766320	baby bed 
n02804414	bassinet 's bed
n03125729	cradle 's bed
n03131574	crib or baby cot 's bed
n04151581	screen 
n03347037	fire screen 
n03788365	mosquito net 
n04589890	window screen 
n04201297	shoji screen or room divider 
n04590129	window shade 
n03014705	storage chest 
n04239074	sliding door 
n03938244	pillow or cushion 
n03998194	prayer rug or mat 
n03223299	doormat  mat
n04033995	quilt or comforter  furnishing
n03636649	lamp  of light furnishing
n04380533	table lamp 
n03637318	lampshade  furnishing
n03932670	piece of cloth 
n03207743	dishrag a piece of cloth
n04459362	towel a piece of cloth
n02808304	bath towel 
n03887697	paper towel 
n03151077	curtains or drapes 
n04209239	shower curtain 
n04418357	theater or front curtain  
n00021265	food 
n07693725	bagel  
n07695742	pretzel  
n07684084	French bread loaf  
n07871810	meat loaf  
n07873807	pizza  
n07875152	potpie  
n07880968	burrito  
n07584110	consomme 
n07590611	hot pot stew 
n07711569	mashed potato 
n07697537	hotdog  
n07697313	cheeseburger or hamburger  
n07831146	carbonara pasta 
n07583066	guacamole 
n07609840	dessert or sweet 
n07611358	frozen dessert 
n07614500	ice cream  
n07615774	ice lolly or popsicle  
n07613480	trifle pudding 
n07836838	chocolate sauce  
n07707451	vegetable 
n07718472	cucumber 
n07718747	artichoke 
n07730033	cardoon artichoke thisle  
n07734744	edible mushroom  
n07715561	squash vegetable 
n07717070	winter squash  
n07717410	acorn squash  
n07717556	butternut squash  
n07716358	zucchini or courgette 
n07716906	spaghetti squash 
n07720875	bell pepper 
n07714990	broccoli  
n07715103	cauliflower  
n07714571	head cabbage  
n13134947	fruit 
n12267677	acorn 
n12620546	rose hip fruit
n13133613	ear of corn 
n07753113	fig 
n07753275	pineapple 
n07753592	banana 
n07754684	jackfruit 
n07760859	custard apple 
n07768694	pomegranate 
n07742313	Granny Smith apple 
n07745940	strawberry 
n07747055	citrus fruit 
n07747607	orange 
n07749582	lemon 
n12768682	buckeye or horse chestnut 
n11879895	rapeseed 
n12144580	corn 
n07881800	beverage or drink 
n07920052	espresso  
n07892512	red wine   
n07930554	punch  
n07932039	eggnog  
n02913152	building 
n03953416	place of worship or house of prayer 
n03028079	church a place of worship
n03788195	mosque a place of worship
n04346328	stupa monument
n03032252	cinema or movie theater
n04187547	shed 
n02727426	apiary or bee shed
n02859443	boathouse 
n02793495	barn 
n03457902	greenhouse  
n03697007	lumbermill  
n03748162	retail store or shop  
n03461385	grocery store   
n02776631	bakery  
n02791270	barbershop 
n02871525	bookshop or bookstore  
n02927161	butcher shop   
n03089624	confectionery or candy store 
n04200800	shoe shop  store buiding
n04443257	tobacco shop 
n04462240	toyshop 
n03661043	library 
n03956157	planetarium 
n04005630	prison 
n04081281	restaurant or eatery 
n02814860	beacon or lighthouse 
n03042490	cliff dwelling 
n04613696	yurt 
n03776460	mobile home 
n02980441	castle 
n02843684	birdhouse 
n03877845	palace 
n03781244	monastery 
n03216828	dock or docking facility 
n03899768	patio or terrace 
n02825657	bell cote or bell tower 
n04105068	roof or ceiling  of building
n03220513	dome 
n04417672	thatched roof 
n04435653	tile roof 
n04523525	vaulted or arched ceiling 
n04296562	stage 
n04562935	water tower  building
n03240683	drilling offshore rig 
n03388043	water fountain 
n04217882	signboard 
n04149813	scoreboard 
n06794110	street sign 
n06874185	traffic light or traffic signal 
n02898711	bridge 
n04311004	steel arch bridge 
n04366367	suspension bridge 
n04532670	viaduct 
n03733281	maze (labyrinth) 
n03743902	memorial monument 
n02892201	brass memorial plaque structure 
n03743016	megalithic structure 
n04486054	triumphal arch 
n03074380	column or pillar 
n03837869	obelisk pillar monument 
n04458633	totem pole pillar monument  
n03903868	pedestal 
n02796623	barrier 
n02788148	bannister (balustrade) handrail 
n02894605	breakwater or jetty barrier
n03160309	water dam
n03327234	fence 
n03000134	chain-link fence 
n03930313	picket fence 
n04326547	stone wall 
n04604644	snake-rail fence or split-rail fence 
n04501370	turnstile gate 
n09287968	geological formation or a body of rock
n09433442	shore a geological formation by water
n09332890	lakeside or lakeshore a geological formation by water
n09428293	seashore a geological formation by water
n09288635	geyser a geological natural spring fountain
n09246464	cliff a geological formation
n09421951	sandbank or shoal a geological formation
n09359803	mountain a geological formation
n09193705	alp mountain 
n09472597	volcano a geological formation
n09399592	promontory or headland a geological formation
n09256479	coral reef a geological formation
n09468604	valley a geological formation
n02729837	electric appliance 
n03483316	hair dryer or hair drier  
n03584829	clothes iron  
n04179913	sewing machine 
n04517823	vacuum cleaner  
n03271574	electric fan  
n04265275	space heater  
n04330267	stove  
n03649909	lawn mower  
n03133878	Crock Pot  cooker
n03207941	dishwasher or dishwashing machine  
n04070727	refrigerator  
n04554684	washer or washing machine  
n03761084	microwave oven 
n04442312	toaster
n04542943	waffle iron
n03297495	espresso maker or coffee maker
n04111531	rotisserie
n03278248	electronic appliance
n02979186	cassette player   
n02988304	CD player   
n03777754	modem   
n03782006	monitor   
n03857828	cathode-ray oscilloscope   
n04392985	tape player   
n04401088	telephone   
n03187595	dial telephone   
n03902125	pay-phone   
n02992529	cellular telephone   
n02757462	audio or sound system   
n03584254	iPod   
n03691459	loudspeaker   
n04404412	television or TV   
n04041544	wireless radio   
n03759954	microphone   
n03924679	photocopier   
n04009552	projector   
n03529860	home theater   
n03196324	digital computer   
n03180011	desktop computer 
n03485407	hand-held computer 
n03642806	laptop computer 
n03832673	notebook computer 
n04004767	printer   
n04152593	CRT screen  display
n03085013	computer keyboard   
n03602883	joystick   
n03793489	computer mouse   
n04074963	remote control   
n04285146	sports equipment  
n04571292	exercising weights   
n02790996	barbells   
n03255030	dumbbells   
n03472232	gymnastic apparatus   
n02777292	balance beam   
n03535780	horizontal gymnastic bar   
n03888605	parallel gymnastic bars   
n04023962	punching bag   
n02778669	ball   
n02799071	baseball 
n02802426	basketball 
n03134739	croquet ball 
n03445777	golf ball 
n03942813	ping-pong ball 
n04118538	rugby ball 
n04254680	soccer ball 
n04409515	tennis ball 
n04540053	volleyball 
n04039381	racket or racquet   
n04228054	ski   
n04251144	snorkel   
n03926148	photographic equipment 
n02942699	camera   
n03976467	Polaroid camera 
n04069434	reflex camera 
n04485082	camera tripod stand   
n03657121	lens cap   
n03733925	measuring instrument   
n04118776	ruler measuring stick 
n03841143	odometer  
n04437953	timepiece or clock 
n04355338	sundial  
n04438304	timer  
n03891332	parking meter 
n04328186	stopwatch  
n03046257	clock  
n02708093	analog clock 
n03196217	digital clock 
n04548280	wall clock 
n03197337	digital watch 
n03544143	hourglass or sandglass  
n02794156	barometer  
n04141975	scale or weighing machine  
n03706229	magnetic compass
n02666196	abacus 
n04044716	radio telescope 
n03760671	microscope 
n03692522	jeweler's loupe magnifying glass 
n02841315	binoculars or field glasses 
n03800933	musical instrument 
n03614532	keyboard instrument 
n02672831	piano accordion 
