0 : [394, 390, 4, 65, 389, 6, 149, 395, 3, 147]
0 : [391, 394, 389, 0, 758, 452, 395, 801, 501, 983]
0 : [0, 975, 394, 391, 472, 30, 408, 456, 871, 576]
0 : [0, 395, 394, 1, 389, 392, 758, 391, 975, 456]
1 : [1, 899, 438, 712, 971, 725, 719, 925, 883, 773]
1 : [1, 0, 395, 392, 393, 389, 390, 29, 26, 124]
1 : [1, 389, 395, 392, 391, 0, 397, 801, 977, 390]
2 : [4, 3, 149, 2, 51, 147, 344, 394, 643, 684]
2 : [2, 3, 4, 149, 394, 147, 51, 148, 34, 452]
2 : [2, 3, 4, 389, 149, 394, 395, 391, 6, 147]
3 : [3, 4, 2, 394, 147, 6, 149, 148, 977, 395]
3 : [4, 3, 2, 149, 394, 6, 395, 389, 65, 390]
3 : [3, 2, 4, 394, 147, 6, 148, 149, 977, 389]
4 : [389, 394, 391, 149, 2, 3, 147, 977, 395, 6]
4 : [4, 2, 3, 389, 394, 150, 149, 395, 391, 6]
4 : [110, 29, 115, 390, 27, 327, 111, 116, 26, 5]
5 : [6, 394, 5, 977, 390, 149, 150, 103, 4, 147]
5 : [5, 6, 394, 116, 392, 395, 397, 115, 110, 117]
5 : [5, 973, 109, 115, 329, 6, 991, 110, 327, 108]
6 : [6, 5, 107, 390, 65, 395, 389, 149, 394, 110]
6 : [3, 6, 2, 4, 801, 693, 445, 977, 149, 433]
6 : [5, 6, 115, 110, 329, 116, 327, 107, 801, 109]
7 : [8, 7, 80, 91, 137, 9, 134, 93, 138, 133]
7 : [242, 7, 63, 274, 8, 376, 371, 91, 103, 369]
7 : [502, 8, 630, 514, 7, 638, 86, 774, 806, 16]
8 : [8, 7, 80, 996, 86, 904, 599, 9, 766, 556]
8 : [8, 7, 86, 82, 91, 85, 80, 83, 81, 138]
8 : [8, 7, 86, 85, 80, 138, 134, 23, 97, 99]
8 : [8, 7, 83, 86, 80, 138, 82, 81, 85, 134]
9 : [9, 138, 134, 135, 133, 8, 23, 128, 93, 127]
9 : [837, 836, 676, 917, 664, 389, 593, 488, 971, 424]
9 : [9, 138, 100, 135, 134, 355, 130, 23, 127, 99]
10 : [448, 18, 749, 572, 493, 542, 883, 17, 556, 16]
10 : [12, 15, 11, 10, 13, 14, 16, 17, 20, 19]
10 : [10, 11, 13, 19, 15, 17, 14, 12, 20, 85]
11 : [11, 14, 92, 325, 86, 16, 951, 950, 816, 946]
11 : [11, 16, 92, 14, 95, 90, 134, 10, 17, 21]
11 : [11, 92, 90, 16, 14, 93, 96, 80, 950, 946]
12 : [12, 14, 13, 16, 15, 17, 20, 10, 11, 91]
12 : [12, 10, 14, 13, 16, 11, 15, 17, 19, 91]
12 : [12, 14, 91, 17, 10, 16, 13, 11, 15, 82]
13 : [13, 14, 12, 15, 16, 10, 17, 20, 11, 19]
13 : [13, 14, 16, 12, 15, 19, 17, 20, 91, 10]
13 : [14, 13, 11, 17, 16, 15, 10, 12, 18, 91]
14 : [14, 11, 16, 448, 13, 12, 17, 95, 10, 18]
14 : [14, 494, 448, 11, 12, 17, 572, 16, 846, 773]
14 : [14, 16, 17, 12, 95, 91, 13, 15, 950, 92]
15 : [15, 16, 95, 91, 17, 18, 12, 14, 92, 85]
15 : [15, 14, 95, 17, 91, 16, 12, 94, 11, 90]
15 : [15, 16, 20, 95, 14, 13, 10, 17, 18, 92]
16 : [16, 95, 91, 17, 13, 92, 18, 15, 94, 11]
16 : [16, 95, 17, 91, 18, 92, 19, 14, 20, 15]
16 : [16, 95, 91, 14, 17, 12, 15, 13, 92, 20]
16 : [91, 95, 16, 18, 17, 14, 93, 92, 15, 90]
17 : [17, 16, 18, 95, 11, 19, 14, 92, 749, 448]
17 : [17, 16, 11, 95, 18, 91, 19, 92, 14, 15]
17 : [17, 18, 448, 11, 16, 95, 91, 19, 14, 572]
18 : [18, 134, 17, 91, 16, 80, 138, 493, 21, 576]
18 : [18, 80, 134, 143, 17, 21, 128, 86, 81, 91]
18 : [18, 17, 91, 16, 15, 21, 95, 80, 134, 14]
19 : [19, 17, 16, 95, 91, 11, 14, 12, 134, 92]
19 : [19, 13, 16, 10, 17, 14, 11, 12, 15, 18]
19 : [19, 17, 16, 94, 92, 11, 95, 13, 91, 14]
20 : [360, 20, 391, 58, 150, 35, 394, 337, 0, 36]
20 : [20, 15, 16, 18, 95, 493, 17, 501, 91, 80]
20 : [20, 542, 952, 950, 224, 600, 616, 136, 16, 501]
21 : [21, 23, 134, 128, 80, 87, 138, 88, 135, 86]
21 : [22, 21, 23, 134, 133, 93, 128, 91, 80, 18]
21 : [21, 23, 22, 134, 128, 138, 88, 83, 80, 24]
22 : [22, 21, 23, 733, 91, 557, 138, 89, 976, 80]
22 : [22, 21, 23, 134, 146, 127, 80, 128, 138, 93]
22 : [22, 23, 21, 93, 134, 89, 128, 91, 138, 127]
23 : [23, 128, 80, 93, 91, 21, 134, 138, 89, 135]
23 : [23, 128, 127, 134, 80, 93, 91, 135, 138, 129]
23 : [23, 22, 21, 128, 134, 127, 144, 138, 135, 99]
24 : [24, 82, 83, 21, 86, 950, 138, 85, 134, 501]
24 : [24, 82, 21, 86, 85, 950, 138, 985, 83, 951]
24 : [24, 21, 83, 82, 85, 86, 138, 985, 950, 92]
24 : [24, 82, 21, 83, 86, 22, 138, 85, 134, 912]
25 : [25, 28, 53, 32, 59, 31, 27, 45, 26, 57]
25 : [25, 28, 38, 45, 27, 32, 26, 44, 31, 42]
25 : [45, 25, 28, 27, 44, 390, 114, 56, 60, 66]
26 : [28, 27, 390, 26, 395, 25, 29, 38, 65, 45]
26 : [25, 45, 28, 56, 38, 60, 62, 52, 390, 32]
26 : [26, 27, 28, 38, 110, 25, 42, 111, 114, 40]
27 : [26, 27, 25, 38, 28, 42, 53, 29, 32, 66]
27 : [27, 26, 60, 38, 42, 40, 28, 46, 59, 53]
27 : [26, 27, 110, 28, 25, 114, 38, 111, 115, 52]
28 : [28, 25, 26, 27, 53, 59, 60, 54, 52, 58]
