Started run at: 1713797821.54 seconds
Run folder: data/imagenet_hierarchy_k_0.5_256_22_04/v2-0_1trials_500_50_10_1keep_50_100_500_1000samples_256
Setting up dataset and prompts

Loading pretrained models...

Loading noise...

Tokenizing text prompts and creating embeddings...

Load subset to evaluate

Evaluating predictions: 

Inference time: 152.16 seconds 

Inference time: 144.80 seconds 

Inference time: 156.80 seconds 

Inference time: 157.04 seconds 

Inference time: 157.51 seconds 

Inference time: 114.47 seconds 

Inference time: 117.84 seconds 

Inference time: 181.23 seconds 

Inference time: 153.26 seconds 

Inference time: 120.14 seconds 

Inference time: 111.22 seconds 

Inference time: 91.88 seconds 

Inference time: 122.45 seconds 

Inference time: 153.64 seconds 

Inference time: 119.76 seconds 

Inference time: 144.39 seconds 

Inference time: 183.19 seconds 

Inference time: 153.40 seconds 

Inference time: 134.26 seconds 

Inference time: 147.44 seconds 

Inference time: 90.42 seconds 

Inference time: 128.99 seconds 

Inference time: 147.41 seconds 

Inference time: 154.87 seconds 

Inference time: 133.30 seconds 

Inference time: 129.98 seconds 

Inference time: 140.45 seconds 

Inference time: 73.58 seconds 

Inference time: 166.31 seconds 

Inference time: 133.82 seconds 

Inference time: 144.77 seconds 

Inference time: 127.10 seconds 

Inference time: 154.45 seconds 

Inference time: 137.46 seconds 

Inference time: 82.39 seconds 

Inference time: 68.25 seconds 

Inference time: 81.70 seconds 

Inference time: 77.84 seconds 

Inference time: 151.99 seconds 

Inference time: 136.71 seconds 

Inference time: 134.43 seconds 

Inference time: 138.21 seconds 

Inference time: 168.43 seconds 

Inference time: 86.17 seconds 

Inference time: 95.63 seconds 

Inference time: 123.88 seconds 

Inference time: 132.17 seconds 

Inference time: 94.45 seconds 

Inference time: 172.02 seconds 

Inference time: 126.37 seconds 

Inference time: 171.14 seconds 

Inference time: 160.79 seconds 

Inference time: 147.87 seconds 

Inference time: 152.11 seconds 

Inference time: 156.28 seconds 

Inference time: 142.80 seconds 

Inference time: 118.48 seconds 

Inference time: 157.89 seconds 

Inference time: 154.57 seconds 

Inference time: 132.35 seconds 

Inference time: 145.22 seconds 

Inference time: 144.71 seconds 

Inference time: 91.66 seconds 

Inference time: 123.00 seconds 

Inference time: 149.97 seconds 

Inference time: 105.18 seconds 

Inference time: 133.17 seconds 

Inference time: 73.97 seconds 

Inference time: 154.07 seconds 

Inference time: 147.17 seconds 

Inference time: 140.21 seconds 

Inference time: 150.45 seconds 

Inference time: 133.08 seconds 

Inference time: 106.90 seconds 

Inference time: 139.05 seconds 

Inference time: 103.15 seconds 

Inference time: 167.96 seconds 

Inference time: 127.46 seconds 

Inference time: 161.26 seconds 

Inference time: 169.16 seconds 

Inference time: 136.83 seconds 

Inference time: 128.79 seconds 

Inference time: 166.65 seconds 

Inference time: 144.28 seconds 

Inference time: 153.54 seconds 

Inference time: 154.99 seconds 

Inference time: 127.50 seconds 

Inference time: 138.77 seconds 

Inference time: 149.96 seconds 

Inference time: 157.70 seconds 

Inference time: 155.22 seconds 

Inference time: 172.38 seconds 

Inference time: 126.94 seconds 

Inference time: 152.67 seconds 

Inference time: 154.95 seconds 

Inference time: 149.88 seconds 

Inference time: 172.18 seconds 

Inference time: 99.14 seconds 

Inference time: 170.99 seconds 

Inference time: 137.63 seconds 

Inference time: 145.98 seconds 

Inference time: 144.96 seconds 

Inference time: 140.88 seconds 

Inference time: 93.37 seconds 

Inference time: 154.26 seconds 

Inference time: 140.83 seconds 

Inference time: 131.45 seconds 

Inference time: 153.24 seconds 

Inference time: 144.05 seconds 

Inference time: 131.44 seconds 

Inference time: 150.44 seconds 

Inference time: 140.03 seconds 

Inference time: 166.68 seconds 

Inference time: 153.11 seconds 

Inference time: 131.72 seconds 

Inference time: 144.72 seconds 

Inference time: 140.35 seconds 

Inference time: 99.50 seconds 

Inference time: 162.25 seconds 

Inference time: 143.06 seconds 

Inference time: 153.93 seconds 

Inference time: 121.85 seconds 

Inference time: 131.00 seconds 

Inference time: 142.03 seconds 

Inference time: 144.01 seconds 

Inference time: 139.45 seconds 

Inference time: 158.67 seconds 

Inference time: 148.59 seconds 

Inference time: 165.92 seconds 

Inference time: 124.74 seconds 

Inference time: 141.22 seconds 

Inference time: 159.27 seconds 

Inference time: 157.05 seconds 

Inference time: 154.36 seconds 

Inference time: 151.40 seconds 

Inference time: 135.58 seconds 

Inference time: 153.21 seconds 

Inference time: 145.11 seconds 

Inference time: 134.39 seconds 

Inference time: 167.84 seconds 

Inference time: 171.38 seconds 

Inference time: 148.39 seconds 

Inference time: 133.84 seconds 

Inference time: 166.76 seconds 

Inference time: 116.92 seconds 

Inference time: 129.90 seconds 

Inference time: 108.37 seconds 

Inference time: 168.10 seconds 

Inference time: 150.78 seconds 

Inference time: 112.22 seconds 

Inference time: 145.97 seconds 

Inference time: 154.68 seconds 

Inference time: 150.69 seconds 

Inference time: 146.90 seconds 

Inference time: 147.99 seconds 

Inference time: 134.74 seconds 

Inference time: 109.35 seconds 

Inference time: 125.41 seconds 

Inference time: 160.67 seconds 

Inference time: 120.09 seconds 

Inference time: 164.77 seconds 

Inference time: 151.09 seconds 

Inference time: 127.75 seconds 

Inference time: 120.79 seconds 

Inference time: 156.51 seconds 

Inference time: 138.34 seconds 

Inference time: 133.86 seconds 

Inference time: 144.12 seconds 

Inference time: 142.52 seconds 

Inference time: 121.60 seconds 

Inference time: 149.13 seconds 

Inference time: 141.05 seconds 

Inference time: 87.20 seconds 

Inference time: 141.54 seconds 

Inference time: 129.20 seconds 

Inference time: 154.82 seconds 

Inference time: 157.69 seconds 

Inference time: 161.22 seconds 

Inference time: 119.79 seconds 

Inference time: 156.10 seconds 

Inference time: 123.11 seconds 

Inference time: 133.87 seconds 

Inference time: 124.90 seconds 

Inference time: 91.24 seconds 

Inference time: 134.40 seconds 

Inference time: 172.18 seconds 

Inference time: 142.92 seconds 

Inference time: 56.89 seconds 

Inference time: 101.03 seconds 

Inference time: 159.80 seconds 

Inference time: 128.18 seconds 

Inference time: 92.59 seconds 

Inference time: 172.36 seconds 

Inference time: 144.18 seconds 

Inference time: 130.18 seconds 

Inference time: 106.47 seconds 

Inference time: 146.07 seconds 

Inference time: 152.53 seconds 

Inference time: 112.79 seconds 

Inference time: 165.89 seconds 

Inference time: 114.93 seconds 

Inference time: 146.17 seconds 

Inference time: 173.11 seconds 

Inference time: 143.74 seconds 

Inference time: 164.58 seconds 

Inference time: 134.00 seconds 

Inference time: 114.27 seconds 

Inference time: 153.77 seconds 

Inference time: 121.55 seconds 

Inference time: 161.44 seconds 

