Started run at: 1713783724.45 seconds
Run folder: data/imagenet_hierarchy_k_0.5_22_04/v2-0_1trials_500_50_10_1keep_50_100_500_1000samples
Setting up dataset and prompts

Loading pretrained models...

Loading noise...

Tokenizing text prompts and creating embeddings...

Load subset to evaluate

Evaluating predictions: 

Inference time: 582.68 seconds 

Inference time: 647.34 seconds 

Inference time: 385.24 seconds 

Inference time: 657.12 seconds 

Inference time: 486.47 seconds 

Inference time: 613.88 seconds 

Inference time: 756.21 seconds 

Inference time: 875.54 seconds 

Inference time: 936.27 seconds 

Inference time: 752.57 seconds 

Inference time: 684.02 seconds 

Inference time: 826.02 seconds 

Inference time: 733.36 seconds 

Inference time: 585.56 seconds 

Inference time: 739.60 seconds 

Inference time: 409.19 seconds 

Inference time: 795.98 seconds 

Inference time: 417.36 seconds 

Inference time: 434.42 seconds 

Inference time: 564.98 seconds 

Inference time: 657.21 seconds 

Inference time: 798.55 seconds 

Inference time: 826.26 seconds 

Inference time: 581.00 seconds 

Inference time: 274.98 seconds 

Inference time: 532.08 seconds 

Inference time: 572.13 seconds 

Inference time: 747.91 seconds 

Inference time: 650.71 seconds 

Inference time: 522.34 seconds 

Inference time: 396.90 seconds 

Inference time: 711.24 seconds 

Inference time: 871.63 seconds 

Inference time: 801.29 seconds 

Inference time: 607.87 seconds 

Inference time: 661.56 seconds 

Inference time: 864.31 seconds 

Inference time: 744.33 seconds 

Inference time: 733.52 seconds 

Inference time: 594.08 seconds 

Inference time: 965.99 seconds 

Inference time: 665.22 seconds 

Inference time: 712.63 seconds 

Inference time: 731.02 seconds 

Inference time: 571.34 seconds 

Inference time: 672.51 seconds 

Inference time: 756.46 seconds 

Inference time: 550.81 seconds 

Inference time: 689.07 seconds 

Inference time: 909.32 seconds 

Inference time: 618.33 seconds 

Inference time: 777.44 seconds 

Inference time: 692.21 seconds 

Inference time: 562.33 seconds 

Inference time: 543.08 seconds 

Inference time: 690.97 seconds 

Inference time: 377.67 seconds 

Inference time: 741.38 seconds 

Inference time: 508.87 seconds 

Inference time: 738.66 seconds 

Inference time: 577.94 seconds 

Inference time: 779.67 seconds 

Inference time: 657.23 seconds 

Inference time: 550.77 seconds 

Inference time: 734.89 seconds 

Inference time: 721.64 seconds 

Inference time: 353.01 seconds 

Inference time: 465.41 seconds 

Inference time: 484.02 seconds 

Inference time: 722.69 seconds 

Inference time: 630.31 seconds 

Inference time: 494.22 seconds 

Inference time: 751.69 seconds 

Inference time: 609.41 seconds 

Inference time: 303.44 seconds 

Inference time: 558.78 seconds 

Inference time: 429.25 seconds 

Inference time: 552.97 seconds 

Inference time: 595.55 seconds 

Inference time: 565.82 seconds 

Inference time: 619.34 seconds 

Inference time: 576.57 seconds 

Inference time: 481.20 seconds 

Inference time: 663.72 seconds 

Inference time: 512.56 seconds 

Inference time: 610.41 seconds 

Inference time: 582.80 seconds 

Inference time: 501.28 seconds 

Inference time: 541.55 seconds 

Inference time: 607.96 seconds 

Inference time: 606.01 seconds 

Inference time: 597.83 seconds 

Inference time: 629.10 seconds 

Inference time: 615.92 seconds 

Inference time: 415.93 seconds 

Inference time: 738.14 seconds 

Inference time: 547.55 seconds 

Inference time: 530.55 seconds 

Inference time: 568.87 seconds 

Inference time: 653.03 seconds 

Inference time: 552.45 seconds 

Inference time: 438.57 seconds 

Inference time: 480.17 seconds 

Inference time: 500.26 seconds 

Inference time: 561.19 seconds 

Inference time: 580.06 seconds 

Inference time: 681.00 seconds 

Inference time: 715.55 seconds 

Inference time: 591.93 seconds 

Inference time: 498.31 seconds 

Inference time: 575.74 seconds 

Inference time: 564.32 seconds 

Inference time: 600.50 seconds 

Inference time: 565.26 seconds 

Inference time: 397.72 seconds 

Inference time: 550.59 seconds 

Inference time: 510.37 seconds 

Inference time: 706.53 seconds 

Inference time: 650.62 seconds 

Inference time: 433.22 seconds 

Inference time: 414.34 seconds 

Inference time: 741.58 seconds 

Inference time: 777.09 seconds 

Inference time: 643.25 seconds 

Inference time: 559.73 seconds 

Inference time: 737.25 seconds 

Inference time: 679.04 seconds 

Inference time: 545.59 seconds 

Inference time: 734.54 seconds 

Inference time: 590.69 seconds 

Inference time: 823.82 seconds 

Inference time: 605.82 seconds 

Inference time: 621.00 seconds 

Inference time: 532.62 seconds 

Inference time: 573.86 seconds 

Inference time: 684.33 seconds 

Inference time: 525.14 seconds 

Inference time: 603.43 seconds 

Inference time: 764.84 seconds 

Inference time: 561.35 seconds 

Inference time: 613.47 seconds 

Inference time: 634.63 seconds 

Inference time: 720.12 seconds 

Inference time: 630.17 seconds 

Inference time: 650.62 seconds 

Inference time: 612.03 seconds 

Inference time: 550.12 seconds 

Inference time: 694.73 seconds 

Inference time: 594.57 seconds 

Inference time: 706.43 seconds 

Inference time: 677.98 seconds 

Inference time: 645.36 seconds 

Inference time: 818.18 seconds 

Inference time: 641.91 seconds 

Inference time: 864.87 seconds 

Inference time: 665.68 seconds 

Inference time: 474.58 seconds 

Inference time: 556.57 seconds 

Inference time: 763.98 seconds 

Inference time: 615.88 seconds 

Inference time: 843.74 seconds 

Inference time: 714.68 seconds 

Inference time: 812.71 seconds 

Inference time: 589.33 seconds 

Inference time: 648.57 seconds 

Inference time: 759.70 seconds 

Inference time: 570.76 seconds 

Inference time: 617.55 seconds 

Inference time: 654.49 seconds 

Inference time: 496.90 seconds 

Inference time: 604.39 seconds 

Inference time: 606.63 seconds 

Inference time: 664.83 seconds 

Inference time: 575.62 seconds 

Inference time: 652.18 seconds 

Inference time: 651.33 seconds 

Inference time: 775.81 seconds 

Inference time: 726.32 seconds 

Inference time: 455.90 seconds 

Inference time: 746.93 seconds 

Inference time: 786.31 seconds 

Inference time: 326.06 seconds 

Inference time: 608.94 seconds 

Inference time: 424.35 seconds 

Inference time: 593.98 seconds 

Inference time: 834.21 seconds 

Inference time: 580.41 seconds 

Inference time: 592.52 seconds 

Inference time: 800.10 seconds 

Inference time: 599.52 seconds 

Inference time: 620.73 seconds 

Inference time: 559.38 seconds 

Inference time: 573.70 seconds 

Inference time: 894.81 seconds 

Inference time: 562.57 seconds 

Inference time: 665.73 seconds 

Inference time: 564.88 seconds 

Inference time: 534.90 seconds 

Inference time: 587.32 seconds 

Inference time: 676.73 seconds 

Inference time: 669.47 seconds 

Inference time: 563.90 seconds 

Inference time: 674.41 seconds 

Inference time: 701.99 seconds 

Inference time: 463.95 seconds 

Inference time: 500.30 seconds 

Inference time: 378.69 seconds 

Inference time: 413.74 seconds 

Inference time: 552.97 seconds 

Inference time: 384.34 seconds 

