index,node,prompt,class_name,is_leaf,classidx
0,n0000,"a photo of the anscestor class",anscestor,99999
1,n0001,"a photo of a 707-320, a type of aircraft.",707-320,0
2,n0002,"a photo of a 727-200, a type of aircraft.",727-200,1
3,n0003,"a photo of a 737-200, a type of aircraft.",737-200,2
4,n0004,"a photo of a 737-300, a type of aircraft.",737-300,3
5,n0005,"a photo of a 737-400, a type of aircraft.",737-400,4
6,n0006,"a photo of a 737-500, a type of aircraft.",737-500,5
7,n0007,"a photo of a 737-600, a type of aircraft.",737-600,6
8,n0008,"a photo of a 737-700, a type of aircraft.",737-700,7
9,n0009,"a photo of a 737-800, a type of aircraft.",737-800,8
10,n0010,"a photo of a 737-900, a type of aircraft.",737-900,9
11,n0011,"a photo of a 747-100, a type of aircraft.",747-100,10
12,n0012,"a photo of a 747-200, a type of aircraft.",747-200,11
13,n0013,"a photo of a 747-300, a type of aircraft.",747-300,12
14,n0014,"a photo of a 747-400, a type of aircraft.",747-400,13
15,n0015,"a photo of a 757-200, a type of aircraft.",757-200,14
16,n0016,"a photo of a 757-300, a type of aircraft.",757-300,15
17,n0017,"a photo of a 767-200, a type of aircraft.",767-200,16
18,n0018,"a photo of a 767-300, a type of aircraft.",767-300,17
19,n0019,"a photo of a 767-400, a type of aircraft.",767-400,18
20,n0020,"a photo of a 777-200, a type of aircraft.",777-200,19
21,n0021,"a photo of a 777-300, a type of aircraft.",777-300,20
22,n0022,"a photo of a A300B4, a type of aircraft.",A300B4,21
23,n0023,"a photo of a A310, a type of aircraft.",A310,22
24,n0024,"a photo of a A318, a type of aircraft.",A318,23
25,n0025,"a photo of a A319, a type of aircraft.",A319,24
26,n0026,"a photo of a A320, a type of aircraft.",A320,25
27,n0027,"a photo of a A321, a type of aircraft.",A321,26
28,n0028,"a photo of a A330-200, a type of aircraft.",A330-200,27
29,n0029,"a photo of a A330-300, a type of aircraft.",A330-300,28
30,n0030,"a photo of a A340-200, a type of aircraft.",A340-200,29
31,n0031,"a photo of a A340-300, a type of aircraft.",A340-300,30
32,n0032,"a photo of a A340-500, a type of aircraft.",A340-500,31
33,n0033,"a photo of a A340-600, a type of aircraft.",A340-600,32
34,n0034,"a photo of a A380, a type of aircraft.",A380,33
35,n0035,"a photo of a ATR-42, a type of aircraft.",ATR-42,34
36,n0036,"a photo of a ATR-72, a type of aircraft.",ATR-72,35
37,n0037,"a photo of a An-12, a type of aircraft.",An-12,36
38,n0038,"a photo of a BAE 146-200, a type of aircraft.",BAE 146-200,37
39,n0039,"a photo of a BAE 146-300, a type of aircraft.",BAE 146-300,38
40,n0040,"a photo of a BAE-125, a type of aircraft.",BAE-125,39
41,n0041,"a photo of a Beechcraft 1900, a type of aircraft.",Beechcraft 1900,40
42,n0042,"a photo of a Boeing 717, a type of aircraft.",Boeing 717,41
43,n0043,"a photo of a C-130, a type of aircraft.",C-130,42
44,n0044,"a photo of a C-47, a type of aircraft.",C-47,43
45,n0045,"a photo of a CRJ-200, a type of aircraft.",CRJ-200,44
46,n0046,"a photo of a CRJ-700, a type of aircraft.",CRJ-700,45 
47,n0047,"a photo of a CRJ-900, a type of aircraft.",CRJ-900,46
48,n0048,"a photo of a Cessna 172, a type of aircraft.",Cessna 172,47
49,n0049,"a photo of a Cessna 208, a type of aircraft.",Cessna 208,48
50,n0050,"a photo of a Cessna 525, a type of aircraft.",Cessna 525,49
51,n0051,"a photo of a Cessna 560, a type of aircraft.",Cessna 560,50
52,n0052,"a photo of a Challenger 600, a type of aircraft.",Challenger 600,51
53,n0053,"a photo of a DC-10, a type of aircraft.",DC-10,52
54,n0054,"a photo of a DC-3, a type of aircraft.",DC-3,53
55,n0055,"a photo of a DC-6, a type of aircraft.",DC-6,54
56,n0056,"a photo of a DC-8, a type of aircraft.",DC-8,55
57,n0057,"a photo of a DC-9-30, a type of aircraft.",DC-9-30,56
58,n0058,"a photo of a DH-82, a type of aircraft.",DH-82,57
59,n0059,"a photo of a DHC-1, a type of aircraft.",DHC-1,58
60,n0060,"a photo of a DHC-6, a type of aircraft.",DHC-6,59
61,n0061,"a photo of a DHC-8-100, a type of aircraft.",DHC-8-100,60
62,n0062,"a photo of a DHC-8-300, a type of aircraft.",DHC-8-300,61
63,n0063,"a photo of a DR-400, a type of aircraft.",DR-400,62
64,n0064,"a photo of a Dornier 328, a type of aircraft.",Dornier 328,63
65,n0065,"a photo of a E-170, a type of aircraft.",E-170,64
66,n0066,"a photo of a E-190, a type of aircraft.",E-190,65
67,n0067,"a photo of a E-195, a type of aircraft.",E-195,66
68,n0068,"a photo of a EMB-120, a type of aircraft.",EMB-120,67
69,n0069,"a photo of a ERJ 135, a type of aircraft.",ERJ 135,68
70,n0070,"a photo of a ERJ 145, a type of aircraft.",ERJ 145,69
71,n0071,"a photo of a Embraer Legacy 600, a type of aircraft.",Embraer Legacy 600,70
72,n0072,"a photo of a Eurofighter Typhoon, a type of aircraft.",Eurofighter Typhoon,71
73,n0073,"a photo of a F-16A/B, a type of aircraft.",F-16A_B,72
74,n0074,"a photo of a F/A-18, a type of aircraft.",F_A-18,73
75,n0075,"a photo of a Falcon 2000, a type of aircraft.",Falcon 2000,74
76,n0076,"a photo of a Falcon 900, a type of aircraft.",Falcon 900,75
77,n0077,"a photo of a Fokker 100, a type of aircraft.",Fokker 100,76
78,n0078,"a photo of a Fokker 50, a type of aircraft.",Fokker 50,77
79,n0079,"a photo of a Fokker 70, a type of aircraft.",Fokker 70,78
80,n0080,"a photo of a Global Express, a type of aircraft.",Global Express,79
81,n0081,"a photo of a Gulfstream IV, a type of aircraft.",Gulfstream IV,80
82,n0082,"a photo of a Gulfstream V, a type of aircraft.",Gulfstream V,81
83,n0083,"a photo of a Hawk T1, a type of aircraft.",Hawk T1,82
84,n0084,"a photo of a Il-76, a type of aircraft.",Il-76,83
85,n0085,"a photo of a L-1011, a type of aircraft.",L-1011,84
86,n0086,"a photo of a MD-11, a type of aircraft.",MD-11,85
87,n0087,"a photo of a MD-80, a type of aircraft.",MD-80,86 
88,n0088,"a photo of a MD-87, a type of aircraft.",MD-87,87
89,n0089,"a photo of a MD-90, a type of aircraft.",MD-90,88
90,n0090,"a photo of a Metroliner, a type of aircraft.",Metroliner,89
91,n0091,"a photo of a Model B200, a type of aircraft.",Model B200,90
92,n0092,"a photo of a PA-28, a type of aircraft.",PA-28,91
93,n0093,"a photo of a SR-20, a type of aircraft.",SR-20,92
94,n0094,"a photo of a Saab 2000, a type of aircraft.",Saab 2000,93
95,n0095,"a photo of a Saab 340, a type of aircraft.",Saab 340,94
96,n0096,"a photo of a Spitfire, a type of aircraft.",Spitfire,95
97,n0097,"a photo of a Tornado, a type of aircraft.",Tornado,96
98,n0098,"a photo of a Tu-134, a type of aircraft.",Tu-134,97
99,n0099,"a photo of a Tu-154, a type of aircraft.",Tu-154,98
100,n0100,"a photo of a Yak-42, a type of aircraft.",Yak-42,99
101,n1000,"a photo of a ATR aircraft, a type of aircraft.",ATR,100
102,n1001,"a photo of a Airbus aircraft, a type of aircraft.",Airbus,101
103,n1002,"a photo of a Boeing aircraft, a type of aircraft.",Boeing,102
104,n1003,"a photo of a British Aerospace BAE aircraft, a type of aircraft.",British Aerospace BAe,103
