index,node_id,prompt,class_name,is_leaf,classidx
0,n0000,a blurry photo of a ancestor class.,ancestor_class,0,99999
1,n0001,a blurry photo of a red.,red,0,99999
2,n0002,a blurry photo of a apple.,apple,1,0
3,n0003,a blurry photo of a fox.,fox,1,34
4,n0004,a blurry photo of a lobster.,lobster,1,46
5,n0005,a blurry photo of a poppy.,poppy,1,63
6,n0006,a blurry photo of a rose.,rose,1,71
7,n0007,a blurry photo of a streetcar.,streetcar,1,82
8,n0008,a blurry photo of a sweet pepper.,sweet_pepper,1,84
9,n0009,a blurry photo of a tulip.,tulip,1,93
10,n0010,a blurry photo of a tractor.,tractor,1,90
11,n0011,a blurry photo of a crab.,crab,1,26
12,n0012,a blurry photo of a orange object.,orange,0,99999
13,n0013,a blurry photo of a orange.,orange,1,54
14,n0014,a blurry photo of a tiger.,tiger,1,89
15,n0015,a blurry photo of a beaver.,beaver,1,4
16,n0016,a blurry photo of a yellow object.,yellow,0,99999
17,n0017,a blurry photo of a bee.,bee,1,6
18,n0018,a blurry photo of a leopard.,leopard,1,43
19,n0019,a blurry photo of a lion.,lion,1,44
20,n0020,a blurry photo of a sunflower.,sunflower,1,83
21,n0021,a blurry photo of a green object.,green,0,99999
22,n0022,a blurry photo of a caterpillar.,caterpillar,1,18
23,n0023,a blurry photo of a crocodile.,crocodile,1,27
24,n0024,a blurry photo of a dinosaur.,dinosaur,1,29
25,n0025,a blurry photo of a forest.,forest,1,33
26,n0026,a blurry photo of a lizard.,lizard,1,45
27,n0027,a blurry photo of a maple tree.,maple_tree,1,48
28,n0028,a blurry photo of a oak tree.,oak_tree,1,53
29,n0029,a blurry photo of a palm tree.,palm_tree,1,57
30,n0030,a blurry photo of a pear.,pear,1,58
31,n0031,a blurry photo of a pine tree.,pine_tree,1,60
32,n0032,a blurry photo of a plain.,plain,1,61
33,n0033,a blurry photo of a snake.,snake,1,79
34,n0034,a blurry photo of a turtle.,turtle,1,94
35,n0035,a blurry photo of a willow tree.,willow_tree,1,97
36,n0036,a blurry photo of a hamster.,hamster,1,36
37,n0037,a blurry photo of a blue object.,blue,0,99999
38,n0038,a blurry photo of a aquarium fish.,aquarium_fish,1,1
39,n0039,a blurry photo of a sea.,sea,1,72
