index,node,prompt,class_name,is_leaf,classidx
0,n0000,"a blurry photo of a anscestor class.",ancestor_class,0,99999
1,n0001,"a blurry photo of a animal.",animal,0,99999
2,n0033,"a blurry photo of a apple.",apple,1,0
3,n0018,"a blurry photo of a aquarium fish.",aquarium_fish,1,1
4,n0094,"a blurry photo of a baby.",baby,1,2
5,n0054,"a blurry photo of a bear.",bear,1,3
6,n1310,"a blurry photo of a beaver.",beaver,1,4
7,n0044,"a blurry photo of a bed.",bed,1,5
8,n0049,"a blurry photo of a bee.",bee,1,6
9,n0050,"a blurry photo of a beetle.",beetle,1,7
10,n0107,"a blurry photo of a bicycle.",bicycle,1,8
11,n0028,"a blurry photo of a bottle.",bottle,1,9   
12,n0029,"a blurry photo of a bowl.",bowl,1,10
13,n0095,"a blurry photo of a boy.",boy,1,11
14,n0084,"a blurry photo of a bridge.",bridge,1,12
15,n0108,"a blurry photo of a bus.",bus,1,13
16,n0051,"a blurry photo of a butterfly.",butterfly,1,14
17,n0059,"a blurry photo of a camel.",camel,1,15
18,n0030,"a blurry photo of a can.",can,1,16
19,n0085,"a blurry photo of a castle.",castle,1,17
20,n0052,"a blurry photo of a caterpillar.",caterpillar,1,18
21,n0060,"a blurry photo of a cattle.",cattle,1,19
22,n0045,"a blurry photo of a chair.",chair,1,20
23,n0061,"a blurry photo of a chimpanzee.",chimpanzee,1,21
24,n0039,"a blurry photo of a clock.",clock,1,22
25,n0089,"a blurry photo of a cloud.",cloud,1,23
26,n0053,"a blurry photo of a cockroach.",cockroach,1,24
27,n0046,"a blurry photo of a couch.",couch,1,25
28,n0069,"a blurry photo of a crab.",crab,1,26
29,n0074,"a blurry photo of a crocodile.",crocodile,1,27
30,n0031,"a blurry photo of a cup.",cup,1,28
31,n0075,"a blurry photo of a dinosaur.",dinosaur,1,29
32,n1410,"a blurry photo of a dolphin.",dolphin,1,30
33,n0062,"a blurry photo of a elephant.",elephant,1,31
34,n0019,"a blurry photo of a flatfish.",flatfish,1,32
35,n0090,"a blurry photo of a forest.",forest,1,33
36,n0064,"a blurry photo of a fox.",fox,1,34
37,n0096,"a blurry photo of a girl.",girl,1,35
38,n0079,"a blurry photo of a hamster.",hamster,1,36
39,n0086,"a blurry photo of a house.",house,1,37
40,n0063,"a blurry photo of a kangaroo.",kangaroo,1,38
41,n0040,"a blurry photo of a keyboard.",keyboard,1,39
42,n0041,"a blurry photo of a lamp.",lamp,1,40
43,n0112,"a blurry photo of a lawn mower.",lawn_mower,1,41
44,n0055,"a blurry photo of a leopard.",leopard,1,42
45,n0056,"a blurry photo of a lion.",lion,1,43
46,n0076,"a blurry photo of a lizard.",lizard,1,44
47,n0070,"a blurry photo of a lobster.",lobster,1,45
48,n0097,"a blurry photo of a man.",man,1,46
49,n0102,"a blurry photo of a maple tree.",maple_tree,1,47
50,n0109,"a blurry photo of a motorcycle.",motorcycle,1,48
51,n0091,"a blurry photo of a mountain.",mountain,1,49
52,n0080,"a blurry photo of a mouse.",mouse,1,50
53,n0034,"a blurry photo of a mushroom.",mushroom,1,51
54,n0103,"a blurry photo of a oak tree.",oak_tree,1,52
55,n0035,"a blurry photo of a orange.",orange,1,53
56,n0023,"a blurry photo of a orchid.",orchid,1,54
57,n1150,"a blurry photo of a otter.",otter,1,55
58,n0104,"a blurry photo of a palm tree.",palm_tree,1,56
59,n0036,"a blurry photo of a pear.",pear,1,57
60,n0110,"a blurry photo of a pickup truck.",pickup_truck,1,58
61,n0105,"a blurry photo of a pine tree.",pine_tree,1,59
62,n0092,"a blurry photo of a plain.",plain,1,60
63,n0032,"a blurry photo of a plate.",plate,1,61
64,n0024,"a blurry photo of a poppy.",poppy,1,62
65,n0065,"a blurry photo of a porcupine.",porcupine,1,63
66,n0066,"a blurry photo of a possum.",possum,1,64
67,n0081,"a blurry photo of a rabbit.",rabbit,1,65
