index,node,prompt,class_name,is_leaf,classidx
0,n0001,a blurry photo of a animal.,animal,0,9999
1,n0002,a blurry photo of a vehicle.,vehicle,0,9999
2,n0003,a blurry photo of a airplane.,airplane,1,0
3,n0004,a blurry photo of a automobile.,automobile,1,1
4,n0005,a blurry photo of a bird.,bird,1,2
5,n0006,a blurry photo of a cat.,cat,1,3
6,n0007,a blurry photo of an deer.,deer,1,4
7,n0008,a blurry photo of an dog.,dog,1,5
8,n0009,a blurry photo of an frog.,frog,1,6
9,n0010,a blurry photo of an horse.,horse,1,7
10,n0011,a blurry photo of an ship.,ship,1,8
11,n0012,a blurry photo of an truck.,truck,1,9


