index,node,prompt,class_name,is_leaf,classidx
0,n0000,a photo of a ancestor class.,ancestor_class,0,99999
1,n0002,a photo of a red ginger flower.,red_ginger,1,0
2,n0003,a photo of a red or orange flower.,orange,0,99999
3,n0004,a photo of a orange dahlia flower.,orange_dahlia,1,1
4,n0005,a photo of a yellow flower.,yellow,0,99999
5,n0006,a photo of a pink yellow dahlia flower.,pink_yellow_dahlia,1,2
6,n0007,a photo of a yellow iris flower.,yellow_iris,1,3
7,n0008,a photo of a pink flower.,pink,0,99999
8,n0009,a photo of a pink primrose flower.,pink_primrose,1,4
9,n0010,a photo of a purple flower.,purple,0,99999
10,n0011,a photo of a purple coneflower.,purple_coneflower,1,5
11,n0012,a photo of a white flower.,white,0,99999
12,n0013,a photo of a giant white arum lily flower.,giant_white_arum_lily,1,6
13,n0014,a photo of a multicolor flower.,multicolor,0,99999
14,n0015,a photo of a alpine sea holly flower.,alpine_sea_holly,1,7
15,n0016,a photo of a buttercup flower.,buttercup,1,8
16,n0017,a photo of a fire lily flower.,fire_lily,1,9
17,n0018,a photo of a anthurium flower.,anthurium,1,10
18,n0019,a photo of a californian poppy flower.,californian_poppy,1,11
19,n0020,a photo of a foxglove flower.,foxglove,1,12
20,n0021,a photo of a artichoke flower.,artichoke,1,13
21,n0022,a photo of a camellia flower.,camellia,1,14
22,n0023,a photo of a frangipani flower.,frangipani,1,15
23,n0024,a photo of a azalea flower.,azalea,1,16
24,n0025,a photo of a canna lily flower.,canna_lily,1,17
25,n0026,a photo of a fritillary flower.,fritillary,1,18
26,n0027,a photo of a ball moss flower.,ball_moss,1,19
27,n0028,a photo of a canterbury bells flower.,canterbury_bells,1,20
28,n0029,a photo of a garden phlox flower.,garden_phlox,1,21
29,n0030,a photo of a balloon flower.,balloon_flower,1,22
30,n0031,a photo of a cape flower.,cape_flower,1,23
31,n0032,a photo of a gaura flower.,gaura,1,24
32,n0033,a photo of a barbeton daisy flower.,barbeton_daisy,1,25
33,n0034,a photo of a carnation flower.,carnation,1,26
34,n0035,a photo of a gazania flower.,gazania,1,27
35,n0036,a photo of a bearded iris flower.,bearded_iris,1,28
36,n0037,a photo of a cautleya spicata flower.,cautleya_spicata,1,29
