index,node,prompt,class_name,is_leaf,classidx
0,n00004258,itap of a living thing.,living thing,0,99999
1,n00021939,itap of a non-living thing.,non-living thing,0,99999
2,n03743902,"itap of a memorial monument buiding.",memorial monument,0,99999
3,n04272054,"itap of a spectacles or glasses.",spectacles or glasses,0,99999
4,n03074380,"itap of a column or pillar buiding.",column or pillar,0,99999
5,n03126707,itap of a construction crane.,construction crane,1,517
6,n02898711,"itap of a bridge buiding.",bridge,0,99999
7,n02999410,"itap of a chain connector.",chain,1,488
8,n03804744,itap of a metal nail.,nail,1,677
9,n03976657,"itap of a pole rod.",pole,1,733
10,n04116512,"itap of a rubber pencil eraser.",rubber pencil eraser,1,767
11,n03530642,itap of a honeycomb.,honeycomb,1,599
12,n03682487,itap of a lock.,lock,0,99999
13,n02913152,"itap of a building.",building,0,99999
14,n04507155,"itap of a umbrella.",umbrella,1,879
15,n03764736,itap of a milk can.,milk can,1,653
16,n02840245,itap of a ring binder.,ring binder,1,446
17,n07565083,itap of a restaurant menu.,restaurant menu,1,922
18,n04254120,itap of a soap dispenser.,soap dispenser,1,804
19,n04067472,itap of a fishing casting reel.,fishing casting reel,1,758
20,n03692522,"itap of a jeweler's loupe magnifying glass.",jeweler's loupe magnifying glass,1,633
21,n03717622,itap of a manhole cover.,manhole cover,1,640
22,n04258138,itap of a solar thermal collector.,solar thermal collector,1,807
23,n03621049,"itap of a kitchen utensil,.",kitchen utensil,0,99999
24,n02808440,itap of a bathtub.,bathtub,1,435
25,n03476684,"itap of a hair clip.",hair clip,1,584
26,n02965783,"itap of a car mirror.",car mirror,1,475
27,n03733131,"itap of a may pole support structure.",may pole,1,645
28,n03899768,"itap of a patio or terrace building.",patio or terrace,1,706
29,n03868863,"itap of a oxygen mask breathing device.",oxygen mask,1,691
30,n03871628,itap of a product packet or packaging.,product packet or packaging,1,692
31,dummy700,itap of a box.,box,0,99999
32,n06785654,"itap of a crossword puzzle game.",crossword puzzle,1,918
33,n02795169,itap of a barrel.,barrel,1,427
34,n02666196,"itap of a abacus calculation instrument.",abacus,1,398
35,n03498962,"itap of a hatchet axe.",hatchet,1,596
36,n04285146,"itap of a sports equipment.",sports equipment,0,99999
37,n00015388,itap of a animal.,animal,0,99999
38,n02876657,"itap of a bottle.",bottle,0,99999
39,n02773037,"itap of a bag.",bag,0,99999
40,n03920288,itap of a petri dish.,petri dish,1,712
41,n04565375,"itap of a weapon.",weapon,0,99999
42,n04399382,"itap of a teddy bear plaything.",teddy bear,1,850
43,n02951585,"itap of a can opener.",can opener,1,473
44,n02880940,"itap of a bowl kitchen utensil.",bowl,0,99999
45,n03935335,"itap of a piggy bank.",piggy bank,1,719
46,n02815834,itap of a beaker.,beaker,1,438
47,n03598930,"itap of a jigsaw puzzle game.",jigsaw puzzle,1,611
48,n03063599,"itap of a coffee mug.",coffee mug,1,504
49,n03888257,"itap of a parachute rescue equipment.",parachute,1,701
50,n06596364,itap of a comic book.,comic book,1,917
51,n03933933,itap of a pier.,pier,1,718
52,n03489162,"itap of a hand tool.",hand tool,0,99999
53,n00007846,itap of a person or human being.,person or human being,0,99999
54,n12992868,"itap of a fungus organism.",fungus,0,99999
55,n03527444,"itap of a gun holster.",gun holster,1,597
56,n04217882,"itap of a signboard.",signboard,0,99999
57,n04493381,itap of a hot tub.,hot tub,1,876
58,n03906997,"itap of a pen.",pen,0,99999
59,n03216828,"itap of a dock or docking facility building.",dock or docking facility,1,536
60,n03405265,"itap of a furnishing.",furnishing,0,99999
